timestamp,user_id,user_location,user_culture_profile,search_query,clicked,purchased,authenticity_rating_given
2026-03-05 03:09:15,usr_76cfacd3,E1,Nigerian,Jollof Rice Seasoning,1,1,5
2026-03-05 03:12:15,usr_1ad17276,B15,Indian,Mango Chutney,1,0,
2026-03-05 03:37:15,usr_431b7055,NE2,East Asian,Mochi,1,1,4
2026-03-05 03:47:15,usr_cdfe7a99,NE1,East Asian,Mochi,1,1,5
2026-03-05 03:57:15,usr_de2e16eb,NE1,Caribbean,Jerk Seasoning,0,0,
2026-03-05 03:58:15,usr_3b129124,NE2,Caribbean,Ackee,1,1,5
2026-03-05 04:00:15,usr_9d94fcc3,NE1,Nigerian,Jollof Rice Seasoning,1,1,3
2026-03-05 04:02:15,usr_a3e986eb,E1,Nigerian,Jollof Rice Seasoning,1,1,5
2026-03-05 04:32:15,usr_c8e1e180,E1,Indian,Garam Masala,1,1,4
2026-03-05 04:33:15,usr_3e8d6c8f,SW1A,Middle Eastern,Pomegranate Molasses,1,1,4
2026-03-05 04:34:15,usr_ee976c76,M14,East Asian,Garam Masala,1,1,4
2026-03-05 04:57:15,usr_67643a85,M14,Caribbean,Jerk Seasoning,1,0,
2026-03-05 05:55:15,usr_5b84b830,M14,East Asian,Mochi,1,1,5
2026-03-05 05:59:15,usr_6911bbbf,B1,Caribbean,Coconut Milk,0,0,
2026-03-05 06:06:15,usr_46f15bac,SW1A,Middle Eastern,Pomegranate Molasses,1,1,4
2026-03-05 06:10:15,usr_879f13cf,E1,Nigerian,Maggi Cubes,1,1,4
2026-03-05 06:25:15,usr_3ef965c7,E1,Indian,Paneer,1,1,2
2026-03-05 06:34:15,usr_f6590e87,SW1A,Caribbean,Scotch Bonnet Peppers,1,1,5
2026-03-05 07:23:15,usr_748880bc,NE1,Middle Eastern,Tahini,0,0,
2026-03-05 07:45:15,usr_8a33e8b0,M1,East Asian,Maggi Cubes,1,0,
2026-03-05 07:58:15,usr_a89d6f25,NE1,Caribbean,Ackee,1,1,5
2026-03-05 08:05:15,usr_dc30f889,NE2,East Asian,Sriracha,1,1,4
2026-03-05 08:16:15,usr_6181cbab,SW1A,Indian,Paneer,1,1,5
2026-03-05 08:20:15,usr_bbea4049,B1,Middle Eastern,Pomegranate Molasses,1,1,5
2026-03-05 08:42:15,usr_b7afe8e3,NE3,Middle Eastern,Mochi,1,0,
2026-03-05 08:57:15,usr_d8edcc6c,SW1A,Nigerian,Plantain,1,1,4
2026-03-05 09:25:15,usr_55b7a95f,B1,Middle Eastern,Pita Bread,1,0,
2026-03-05 09:26:15,usr_d9d0e062,NE3,Caribbean,Scotch Bonnet Peppers,1,0,
2026-03-05 09:33:15,usr_e6090c1b,NE3,Middle Eastern,Sumac,1,1,5
2026-03-05 09:35:15,usr_9014c9a3,M1,Indian,Sriracha,1,1,4
2026-03-05 10:23:15,usr_634dc79e,M1,East Asian,Sriracha,1,1,5
2026-03-05 10:31:15,usr_c803010a,SW1A,Middle Eastern,Zaatar,1,0,
2026-03-05 10:37:15,usr_dfdab3c1,E1,Middle Eastern,Zaatar,1,0,
